,Category,Question,Answer
,Blogs,How do I monetize a blog?,"There are two ways to monetize your blog. First, you can lock your blog behind a paywall and charge other people on Minds a specified amount to view it. To do this, click on the lightning bolt 'Wire' icon and select the amount you wish to charge. More information on Wire may be found at https://minds.com/wire"
,,,
,Groups,How do I create a group?,"Click the navigation bar in the top-center of the screen and select “Groups.” From there, you will be prompted to “Start a new group."""
,Groups,How do I edit the group settings?,"To edit a group, click on the pencil icon which will open all fields for edit. From here, you can edit the group name, description, banner image, avatar image, associated tags, privacy options, permission options, and default feed."
,Groups,What is the group 'feed'?,"The group feed is where you can see all posts from members of the group. This is the default group setting, but you can navigate to it by clicking on ""feed"" under the avatar."
,Groups,What is the group 'conversation'?,"The group conversation is where you can have a live conversation with all members of the group. You can navigate to this by clicking on ""conversation"" under the avatar."
,Groups,How do I invite people to the group?,"To invite people to the group, click on ""Members"" and you will see the option to search for users who you want to invite. Then, simply enter the name to send them an invitation. You may only send invitations to join a group to your subscribers."
,Groups,How do I promote the group?,"Under the group description, you will see the option to ""Boost"" your group. This will promote the group to the rest of the Minds network."
,Groups,How do I make someone an admin of the group?,"To make someone a group admin, click on ""Members"" and find the user, then click on the gear icon on their channel card and select ""Make Admin""."
,Groups,How do I prevent spam in my group?,"The best way to prevent spam in groups is to moderate the posts. This means that any post that someone submits will have to be approved or rejected by a group admin or owner. If you do not wish to moderate, you will need to manually remove any spam posts by selecting ""Delete"" on the post settings."
,Groups,How do I remove someone from my group?,"To remove a group member, you must search for their username in the members section, click the gear icon on their channel card, and select ""Remove from Group"". "
,,,
,Messenger,What is Messenger?,Minds Messenger is a feature for users to directly communicate with one another in an encrypted chat.
,Messenger,How do I set up Messenger?,Minds requires you to create a password for Messenger before using the feature. This is necessary for your chat to be encrypted. This password should be different than your login password to protect your chat in case your channel is compromised.  
,Messenger,Why do I need a password for Messenger?,"Passwords are required to ensure the privacy of your chats in case your channel is compromised. This password is known only by you, and is the only way to unlock your Messenger private key which is used to decrypt your private messages. Not even Minds has access to the contents of your chat."
,Messenger,What if I forget my password?,"If you forget your password, you can reset it by clicking on the Messenger Settings cog and selecting ‘Re-Key’. However, please note that by resetting your password your chat history will be deleted for your privacy protection. "
,Messenger,My chat is unreadbale and displayed as bubbles,"Your chat history has been destroyed because you have rekeyed your encryption key. Your chat partners, however, still have their chat history with you."
,Messenger,How do I message someone?,"To find a channel to message search for their username in the search box in the window. If you have not entered a messenger password, you will be promoted at this time."
,Messenger,How can I tell if someone is online?,A blue dot will appear in your messenger to indicate a channel is online.
,Messenger,How can I tell if I have a message?,"If another user has messaged you, the Messenger window will flash yellow, and you will see a green dot next to the name of the user who messaged you. You will also receive a notification."
,,,
,Notifications,Where can I find my notifications?,"All of your notifications can be found by clicking on the bell icon in the top navigation. From here, you can see all activity related to your channel. You can also filter the notifications for specific activity, such as comments, tags, wires, subscribers, etc."
,Notifications,What do the icons in my notifications mean?,"Within your notifications window, you can hover over each icon to see what type of notification it resembles."
,Notifications,How can I turn off notifications?,Notifications be tmayurned off or muted in three ways: 1) Mute a post in the post drop down menu 2) mute a group in the settings cog of the group 3) block a user.
,,,
,Plus,What is Plus?,"Become a valued Minds supporter by signing up for Minds Plus. We rely on this income to keep our servers humming, and we really appreciate the support from Minds Plus users. Plus is a paid subscription that provides you with added benefits on Minds across all mobile and web channels. The benefits include: Opt-out of all ads and boosted content on the site; Access to exclusive Minds content; Add a Plus badge on your channel; and Request to become verified. Visit https://minds.com/plus for more information."
,Plus,What does opting out of Boosts mean?,"A typical user will see Boosted, or promoted, content throughout their newsfeed and other areas of the site. Opting out of Boosts makes it so you do not see any Boosted content anywhere on the site."
,Plus,What is exclusive Minds content?,"Periodically throughout the month, the Minds team will post exclusive content for all Plus users to provide a closer look at what is going on behind-the-scenes at our headquarters. Access to monthly hangouts with the Minds team will also be included to provide users with the opportunity to ask questions and discuss ideas. Exclusive Minds content will continue to evolve as the site continues to grow."
,Plus,What is a Plus badge?,"By signing up, you will receive a Plus badge on your profile by default. This is intended to make your profile stand out and allow you to show that you are a supporter of Minds. You may also choose to remove this badge from your channel, if desired."
,Plus,What does it mean to become verified?,Plus provides you with the option to request a verified badge. Submit a request and post your Minds channel link on at least two other social sites so we know it is you. The Minds team will review the submission and verify that you actually are who you claim to be. This helps our community confirm that you are the real channel and not an imposter.
,Plus,What is the cancellation policy?,You may cancel your Plus subscription at any time by going to your settings and then clicking on billing. Refunds and credits will not be issued for partial billing periods.
,,,
,Token,What are Minds tokens?,"Minds tokens are the network's crypto-token. They are built using the ERC-20 utility standard and are issued on the Ethereum blockchain. You earn Minds tokens for your contributions to the network, and can exchange them for more views on your content with Boost or to support other creators with Wire."
,Token,How do I earn Minds tokens?,"You earn Minds tokens for your contributions to the network each day. Contributions include setting up your account, referring new users, posting high quality content, being active on the site, contributing code, finding bugs and more. For more information on how to earn, please visit https://minds.com/wallet/tokens/contributions."
,Token,How do I buy Minds tokens?,"More information on purchasing Minds Tokens will be released in the future. During the Testnet phase users will be provided with a token allocation based on on their previous points balance. Users will also be rewarded tokens based on their conributions, and additional boost views may be purchased seperately."
,Token,How can I use my Minds tokens?,"Minds tokens are accepted as payment for all services on the Minds network, including Boost, Wire, Plus and more. You may exchange your tokens for views on your content with Boost, or you may send them to other channels as a tip or for custom rewards with Wire."
,Token,Can I exchange my Minds tokens?,"The Minds token is a utility token meant for application on the Minds platform. There is the possibility that Minds tokens may be traded on third party exchanges, but we have not encouraged or facilitated this in any way. This information is solely to reduce the number of support inquiries regarding this topic."
,Token,What is the total supply of Minds tokens?,"Information regarding the supply will be released with the rest of the tokenomics in the future.
"
,Token,What percentage of Minds tokens were sold in the token Distribution Event?,Information regarding the token allocation will be released with the rest of the tokenomics in the future.
,Token,What percentage of Minds tokens are reserved for user rewards?,Information regarding the token allocation will be released with the rest of the tokenomics in the future.
,Token,What will the remainder of Minds tokens be allocated towards?,Information regarding the token allocation will be released with the rest of the tokenomics in the future.
,Token,Why do I need Ethereum to execute a transaction?,"A small Ethereum ""gas"" fee is required in order to execute a transaction on the Ethereum blockchain. These fees are the incentive provided for Ethereum miners to fulfill the transaction. OffChain tokens will not require any gas fee. OnChain tokens will require a gas fee, but this fee is waved during the Testnet period."
,Token,How do I get Ethereum?,More information regarding how to get real Ethereum for the main network will be provided in the future when we transition out of the TestNet phase.
,,,
,Rewards,How do I earn rewards?,"To earn rewards you must first provide your mobile number and verify your account. Once you have completed this step, you will begin earning rewards for your contributions to the network each day."
,Rewards,Why do I need to provide my mobile number?,"Your mobile number is required for us to create a unique hash ID for your account. This is essential for us to make sure that all engagement channel's receive is unique to prevent fraud and gaming of the system. All mobile numbers are converted to a unique SHA-256 hash, and your mobile number will never be stored on the Minds servers in raw format. "
,Rewards,"What is my ""Contribution Score""?","Each day, you will receive a Contribution Score based on the amount you contributed to the network. Contributions include posting high quality content, referring new users, gaining subscribers, and being active on the site. The algorithm used to measure contribution is can be found at https://minds.com/wallet/tokens/contributions."
,Rewards,"What is the ""Daily Reward Pool""?",The Daily Reward Pool is the number of Minds tokens reserved for user rewards each day.
,Rewards,How is my daily Minds token payout determined?,"At the end of each day, your Contribution Percentage will be applied to the Daily Reward Pool to determine how many Minds tokens you earned. For example, if your Contribution Percentage is 1% and the Daily Reward Pool is 10,000 Minds tokens, then you would earn 100 Minds tokens (1% * 10,000) for your contributions to the network that day."
,Rewards,How will I receive my daily rewards?,"Daily rewards will be paid out in OffChain tokens. OffChain tokens represent a 1 to 1 reservation of an OnChain Minds token, and after you verify, you can withdraw them at anytime into your OnChain address."
,Rewards,What is the limit required to withdraw Minds tokens?,"There is not minumum or maximum limit required to withdraw OnChain Minds tokens, but there is a limit of one withdrawl per day, and an Ethereum transaction fee will apply. "
,Rewards,How do I withdraw Minds tokens?,"To withdraw Minds tokens, go to your wallet and click on ""Withdraw"". From here, you can submit your request to withdraw your Minds tokens and have them deposited into your Ethereum wallet. You will need to pay a small ETH gas fee in order to execute the withdrawal."
,Rewards,Where can i keep track of my earnings?,You may track all of your Minds token earnings in your wallet. https://minds.com/wallet/tokens/transactions
,,,
,Wallet,What is my wallet?,This is your localized wallet to store your Minds tokens. It is located by the bank icon in the top right corner of your browser. You may easily integrate any existing Ethereum wallet with your Minds wallet to send and receive Minds tokens.
,Wallet,Where can I find my wallet?,Your wallet is located in the top navigation and is symbolized by a bank icon. 
,Wallet,What is an OnChain address?,An OnChain address is an Ethereum address where you can store your Minds tokens. Transactions using your OnChain address will be published to the public Ethereum blockchain and require a small Ethereum 'Gas' fee. You can chooes to setup your own private key or use a client such as MetaMask.
,Wallet,What is MetaMask?,"MetaMask is a browser plug-in that bridges the distributed web of tomorrow to your browser today. It allows you to run Ethereum decentralized applications right in your browser without running a full Ethereum node. MetaMask provides a secure identity vault and a user interface to manage your identities and sign blockchain transactions on different sites. You can install the MetaMask browser plug-in on Chrome, Firefox, Opera, and the new Brave browser. "
,Wallet,Can I use an existing Ethereum address?,"Yes, you can use your own existing Ethereum address for your OnChain address. To import an existing address, visit the ""Addresses"" menu item in your wallet and select to change your OnChain address. Then click 'Provide Address'."
,Wallet,Can I create a new Ethereum address?,"Yes, you can create a new Ethereum address for your OnChain address. By selecting this option, Minds will generate a public key for your OnChain address and allow you to download your Private Key. Please note that you are responsible for safely storing your Private Key. Minds does not store your Private Key and cannot help you recover your account should you lose this Private Key. We encourage paper backup for your key stored safely to prevent loss as this password may not be recovered."
,Wallet,What is a Receiver address and how do I set it up?,"Your Receiver address is the address you wish to use to receive payments from other channels on Minds, through Boost or Wire. We recommend using the same address for both your OnChain and Receiver addresses for the most seamless experience."
,Wallet,What is an OffChain address?,"An OffChain address is your local address where you can store your Minds tokens. Transactions using your OffChain address will not be published to the blockchain and will be referenced to a Minds database that is immutable at the application level. There are no fees associated with OffChain transactions, but there are daily spending limits. All daily contribution rewards will be deposited into your OffChain address."
,Wallet,What is my total balance?,"In your wallet, you will see a total balance of Minds tokens located under the Minds logo. This balance is the sum of both your OnChain and OffChain address balances. "
,Wallet,How do I withdraw tokens from my OffChain address?,OffChain tokens maintain a 1 to 1 reservation for OnChain tokens. You can withdraw tokens from your OffChain address into your OnChain address at any time. You will need to pay an Ethereum Gas fee in order to process the withdrawal transaction.
,Wallet,What is an Ethereum Gas fee?,"All transactions that are published onto the public Ethereum blockchain will require a transaction fee, otherwise known as a 'Gas' fee. This is a small amount of Ether that must be sent alongside your Minds token payment in order for the transaction to be processed. "
,,,
,Boost,What is Boost?,Boost is the anti-surveillance ad network on Minds for you to gain views on your content from the network in exchange for Minds tokens or USD. Read more: https://minds.com/boost
,Boost,How do I Boost?,"You can Boost your post, media or channel by clicking the ""Boost"" button on the desired content, and completing the prompt to request a specific number of views, what category to target, and your payment method. Read more: https://minds.com/boost"
,Boost,What are the different types of Boost?,"There are three different types of Boosts on Minds: Newsfeed, Sidebar and Channel, Read more: https://minds.com/boost"
,Boost,What is a Newsfeed Boost?,A Newsfeed Boost delivers guaranteed views on your posts in exchange for USD or Minds tokens. We place Newsfeed Boosts in the rotating queue at the top of the newsfeed or every twelve posts in the newsfeed. Read more: https://minds.com/boost
,Boost,What is a Sidebar Boost?,"A Sidebar Boost delivers guaranteed views on your channel, video, image or blog in exchange for USD or Minds tokens. We place Sidebar Boosts on the sidebar of the newsfeed and other user's content. Sidebar views are not counted on the newsfeed view counter. Read more: https://minds.com/boost"
,Boost,What is a Channel Boost?,A Channel Boost is a peer-to-peer offer to pay another Minds channel in USD or Minds tokens in exchange for a guaranteed Remind (share). Channel Boost offers may be accepted or rejected. Use a Channel Boost to target specific communities with content. Build a great channel on Minds and earn revenue by accepting Channel Boost offers to Remind other users’ content to your audience. Read more: https://minds.com/boost
,Boost,What is a Priority Boost?,A Priority Boost places your content at the very front of the line. This enables you to fulfill the number of views you request much more quickly and react to breaking or live events. Priority Boost rates are subject to surge pricing. The minimum price is twice regular Boost rates. Read more: https://minds.com/boost
,Boost,How do I pay for a Boost?,"You can pay for a Boost with USD or Minds tokens. If you choose to use Minds tokens, you can pay using your OnChain or your OffChain address."
,Boost,What happens if I pay with my OnChain address?,"If you choose to pay with your OnChain address, then your Boost transaction will be published to the public Ethereum blockchain. You will also need to pay a small Ethereum gas fee in order to process the transaction. "
,Boost,What happens if I pay with my OffChain address?,"If you choose to pay with your OffChain address, then your Boost transaction will not be published to the public blockchain and will instead be stored on the Minds database. This database is immutable (cannot be changed) at the application level. You will not be required to pay any fees using this address, but spending limits will apply."
,Boost,What counts as a view?,A view is defined by a post passing through the center of someone's screen. 
,Boost,How do I track the status of my Boost?,"You can keep track of your boosted content in your Boost Console located in the top-bar navigation. In this console, you can track the status of your newsfeed Boosts, sidebar Boosts, and any offers you have sent or received for Channel Boosts."
,Boost,How long does a Boost take to complete?,Boost completion time varies and is a function of our Boost backlog and site activity.
,Boost,What is the Boost content policy?,Minds Boost Policy can be found in the Boost Policy section of our Terms of Service. Read more: https://www.minds.com/p/terms
,,,
,Wire,What is Wire?,Wire is the peer-to-peer payment and crowdfunding system on Minds. Minds tokens are accepted through Wire. Read more: https://minds.com/wire
,Wire,Why would I Wire someone?,You can Wire another channel to support their content or to subscribe to their reward tiers.
,Wire,How do I make my Wire recurring?,"To make your Wire recur on a monthly basis, check the box that says ""repeat this transaction monthly"" before submitting."
,Wire,How do I cancel a recurring Wire?,"To cancel a recurring Wire subscription, go to the billing section of your settings and under the recurring payment section, click cancel."
,Wire,How can I keep track of my Wire history?,You can track all of your Wire transaction history in your Wallet.
,Wire,What is a reward tier?,"Reward tiers are ways for content creators to build their own membership business on Minds. Creators can set different levels of reward tiers that provide different value for their supporters, similar to Patreon or other crowdfunding sites."
,Wire,How do I create a reward tier?,"You can set all of your reward tiers directly on your channel or Wallet by editing the widget called “Rewards”. In this widget, you can set the payment required and description for each level of rewards. Users must then Wire you the amount specified in order to access the rewards associated with each subscription."
,Wire,How do I make content exclusive to my premium subscribers?,"You have the option of making every post on Minds exclusive by clicking on the Wire icon on the post and specifying how much users must have Wired you in order to view the post. For example, you can set a post limited only to users who have Wired you 5 tokens that month. The post will appear locked to all users except those who meet the criteria."
,,,
,Development,Is Minds fully open source?,Yes. Minds.com and the Minds mobile app are both licensed under a AGPLV3 license. 
,Development,Where can I find the project?,The code is entirely free and open source and can be found at https://minds.org or https://github.com/minds.
,Development,Can I earn rewards for contributing?,"Yes, developers who find bugs or contribute code or documentation may qualify for Minds token rewards. All developer contributions will first be reviewed by the Minds staff to determine if they qualify for a reward."
,,,
,TestNet,How do I get test Ethereum for the TestNet?,We will automatically deposit test Ethereum tokens into your wallet when you configure your OnChain address. You can also claim more ETH from www.rinkeby.io.
,TestNet,What can I do with a TestNet token?,"Tokens held during the TestNet phase will have the same utility on Minds as a normal token. They are accepted for boost, Wire, Plus and more. You can exchange them for views on content with Boost, or you can send them to other channels as a tip or for custom rewards with Wire. These tokens are not transferable and are running on the Rinkeby Ethereum Test network. More information regarding the transition to the Main Ethereum network will be released in the future."
,TestNet,What happened to my Points balance?,"Your Points balance has been converted into OffChain tokens for the TestNet phase. OffChain tokens hold the same exact value as Points. You can use them to Boost your content for more views, or send to other channels you support with Wire. We have exchanged your Points for OffChain tokens at a rate of 1,000 Points per 1 token."
,TestNet,Why can't I receive any more payments in USD?,"With the addition of crypto, Minds has migrated away from the Stripe platform. This is an important step to become more independent and less reliant on proprietary third parties. Any user who was receiving a recurring monthly payment in USD through Stripe will continue to receive these payments. Any new payment will be in Minds tokens. "
,TestNet,How long will the TestNet go on for?,"The TestNet will remain in production for all users until further notice. This is an important step because it allows us time to audit our smart contracts and code, improve the rewards scoring and distribution systems, and just as we have done during Minds beta, gain critical feedback from the community on areas where we may improve."
,TestNet,When will the token ecomomics be released?,We do not have a date for this yet. We are using the TestNet phase to make necessary changes and gain more insight on our token economics.
,TestNet,How many tokens are in the daily reward pool during the TestNet?,"We will be testing out different reward distributions throughout the TestNet phase. For this reason, there is no set answer as the total amount of tokens in the token reward pool may vary each day."
,TestNet,What happens to my existing subcription to Points or Minds Plus?,Anyone who had an existing recurring monthly subscription for either Points or a Minds Plus account will receive the same value as they were previously. The only difference will be that these users will receive OffChain tokens in place of the Points.
,TestNet,What happens if I have been supporting another channel with a monthly recurring USD payment?,"If you are using Wire to support another channel on a monthly basis with USD, your payments will continue as normal. If you wish to cancel this subscription, you can do so in the billing section of your settings. "
